tablet_id,target,occurrence_index,site,position_class,numeral_present,arithmetically_eligible,primary_exclusion_reason,flag_ambiguous,flag_missing,flag_damaged,n_preceding_entries,computed_sum,recorded_total,residual,relative_residual,arithmetic_outcome,sectioning_rule
HT122b,KU-RO,0,Haghia Triada,NEAR_TERMINAL,True,True,,False,False,False,5,15.0,65.0,50.0,0.7692307692307693,UNEXPLAINED_MISMATCH,A
HT122b,PO-TO-KU-RO,0,Haghia Triada,TERMINAL,True,False,MISSING,False,True,False,0,,97.0,,,NOT_TESTABLE,A
HT123+124a,KU-RO,0,Haghia Triada,NON_TERMINAL,False,False,MISSING,False,True,False,0,,,,,NOT_TESTABLE,A
HT123+124a,KU-RO,1,Haghia Triada,NEAR_TERMINAL,True,True,,False,False,False,1,93.0,25.0,-68.0,2.72,UNEXPLAINED_MISMATCH,A
HT123+124a,KI-RO,0,Haghia Triada,NON_TERMINAL,True,True,,False,False,False,2,39.0,1.0,-38.0,38.0,UNEXPLAINED_MISMATCH,A
HT123+124a,KI-RO,1,Haghia Triada,NON_TERMINAL,False,False,MISSING,False,True,False,2,39.0,,,,NOT_TESTABLE,A
HT123+124a,KI-RO,2,Haghia Triada,NON_TERMINAL,False,False,MISSING,False,True,False,2,20.0,,,,NOT_TESTABLE,A
HT123+124a,KI-RO,3,Haghia Triada,NON_TERMINAL,False,False,MISSING,False,True,False,2,19.0,,,,NOT_TESTABLE,A
HT123+124a,KI-RO,4,Haghia Triada,TERMINAL,True,False,MISSING,False,True,False,0,,6.0,,,NOT_TESTABLE,A
HT123+124b,KU-RO,0,Haghia Triada,NEAR_TERMINAL,True,True,,False,False,False,5,27.0,20.0,-7.0,0.35,UNEXPLAINED_MISMATCH,A
HT123+124b,KI-RO,0,Haghia Triada,TERMINAL,True,False,MISSING,False,True,False,0,,5.0,,,NOT_TESTABLE,A
HT127b,KU-RO,0,Haghia Triada,NON_TERMINAL,False,False,MISSING,False,True,False,1,13.0,,,,NOT_TESTABLE,A
HT127b,KU-RO,1,Haghia Triada,TERMINAL,True,True,,False,False,False,6,292.0,292.0,0.0,0.0,EXACT_CLOSURE,A
HT130,KU-RO,0,Haghia Triada,NON_TERMINAL,False,False,MISSING,False,True,False,1,3.0,,,,NOT_TESTABLE,A
HT131b,PO-TO-KU-RO,0,Haghia Triada,TERMINAL,True,True,,False,False,False,2,32.0,452.0,420.0,0.9292035398230089,UNEXPLAINED_MISMATCH,A
PH(?)31a,KU-RO,0,Phaistos,NON_TERMINAL,False,False,MISSING,False,True,False,5,5.0,,,,NOT_TESTABLE,A
ZA15b,KU-RO,0,Zakros,NEAR_TERMINAL,False,False,MISSING,False,True,False,1,3.0,,,,NOT_TESTABLE,A
